Shop name,Review,Stars,Date,Country
Herbal Lodge,This is a great company with very knowledgeable folks.  I was impress with their responses.  Well written and was to understand.  Great and kind response.  Sometimes accompanying with videos.  I learned quite a bit about SEO from my few communications.,5,8-Feb-23,United States
Work Boot World,"Great little app. It tells me when there are things that should really be fixed. In all honesty, when I fix them my sales actually do spike upward. I would definitely recommend.",5,27-Dec-16,United States
Giselle Baumet,"I've actually had this app for a while now but hadn't paid that much attention to it. Oops. But, lately, my focus is a lot more SEO and I looked at all the features of the app. I ended signing up for the upgraded version and the team at Plug in SEO have been amazing. I primarily blog for my work and do so on Shopify. While Wordpress has Yoast, I would say that the equivalent for Shopify is Plug in SEO. Highly recommend this app. You can check out my site at gisellebaumet dot com",5,"Edited October 19, 2020",United States
Mystic Moon Shop Inc,"Love these guys! Super helpful and dramatic results!
Thank YOU !",5,13-Mar-17,United States
Altru Apparel,The tool and service have been very good. We are able to quickly identify and correct issues that affect the quality of our SEO.,5,3-Dec-21,United States
1King worship wear | Christian T-shirts,"Daniel & the other fixers at PlugInSEO were great. They gave me great advice & fixed my SEO issues in a prompt manner. Very easy to communicate with. For me, SEO is something I don't understand. Daniel made it very easy to understand what needed to be done & how it should be approached so the appropriate fixes could be made. Job well done!",5,10-Apr-13,United States
Hyper Fitness,This has been a handy little tool for my shop!,5,25-Feb-16,Canada
Meddy Teddy,Seems to work well for www.meddyteddy.com and it has been improving our rankings,5,6-Oct-16,United States
Ahenque1,Thanks for easy and practical info!  I appreciate the quick response. Hope see the results soon;),5,17-Sep-16,Türkiye
One Fur All,Can never go wrong with a free app!  Points out issues that you might not be aware of and offers suggestions / solutions for addressing the issues.,5,29-Sep-16,United States
Favors Today,"easy to set up, step by step...so far, good. i know this is going to improve my traffic. Excited to see what happens. I will update when I begin to see results. I debated which seo app to add, so far this is easy.",5,16-Dec-21,United States
Pitaya,This app is easy to use and very helpful. I can't wait to explore more as I feel this will really boost our SEO marketing.,5,"Edited April 30, 2020",United States
Flint+Flint,Great app.  Fast turn around support.  Cheers,5,5-Jan-15,United Kingdom
Bigbandchartstore,Very simple to use. Clear instructions on suggested SEO improvements. Thanks!,5,17-Nov-16,United States
Michele Benjamin - Jewelry Design,This is a highly recommended app for everyone. It was very useful in terms of diagnosing hidden SEO integrations that enable an enhanced experience. Thanks for making this app available.   www.michelebenjamin.com,5,4-Sep-13,United States
Urbanrenewaldesignsonline,Great app for checking your SEO! Love it!,5,"Edited March 26, 2017",United States
Vegan Style,Very impressed with Chantal's work!,5,27-Apr-17,Australia
Rtid,"Luke and his team did an incredible job. Very attentive and proactive. He worked with me to make sure everything looked the way I wanted before moving forward and always responded quickly. He even took care of a small formatting 
issue that was unrelated to the original project scope and didn't charge me. Highly recommended!!!",5,"Edited July 7, 2017",United States
Zengifts,This app is helpful and easy to use,5,3-Oct-16,Australia
Life of Riley Pet Products,I use this app in my store and its very helpful - there was some code I wasn't sure how to change and the support team went in and did it for me - great support thank you,5,6-Sep-21,New Zealand
FoodCraft Online Store,"Attentive service! Quick email replies and very helpful. If we can add one thing, the calls with the experts are all arranged at US time and not catering for Asia market.",5,5-Jun-22,Hong Kong SAR
Bookish Gifts,Plug in SEO is great for me with little experience coding.  They quickly report issues and tell me how to fix or can fix for small fee.  Thanks!,5,8-Jul-19,United States
eGOSHOPPING,"The best app, love this app, thanks so much.
Daniel and plugin team quickly responded and answered to all necessary questions that I have sent. Daniel is providing an excellent services to customers.",5,23-Mar-15,United States
Treasuredollscloset,Great app to keep your website operating seamlessly,5,26-Apr-17,United States
Perfume Philippines,Loved it! I've been using this app for years already. It worked really great for us for optimizing our site for seo. I would definitely recommend. Thank you Libby for helping me.,5,"Edited September 3, 2020",Philippines
Puber Sports,Usé esta aplicación para mejorar el Seo. Es intuitiva pero no fácil sino sabes muy bien de qué va esto del Seo. A mi me está ayudando mucho. Vale la pena.,5,"Edited April 15, 2020",Spain
Scriptum Fine Stationery Oxford,"Lovely little bit of kit - doesn't just tell you what is wrong, but also gives you clear and helpful advice on how to fix it and improve your SEO. Highly recommended.",5,4-Mar-15,United Kingdom
Alfie Douglas,"I'm always a bit cautious about whether Apps live up to the hype used to promote them, but this one has exceeded all expectations.",5,27-Nov-13,United Kingdom
Matts Music Store,"Very helpful with SEO tips, tricks, and advice to make your site more findable. Great app!",5,29-Sep-16,United States
Chicky Dees Gifts,Chicky Dee's Gifts:  https://shop.chickydee.com/,5,2-Oct-16,United States
Svg Cut Studio,Does job for me. Showed few issues and now working on them. Must have APP for quick check on your site condition and where are gaps in sites SEO. How professional content is in your web site is on your own shoulders.,5,5-Jun-16,United Kingdom
Organicorigins,Excellent easy ideas to fix myself :),5,12-Jan-18,Australia
Hidden Art Shop,We recently tried the free version of Plugin SEO. We were very pleased with the way it worked for us. It provided a thorough and detailed analysis of all aspects of our e-shop and made useful suggestions for improving its structure. We've already amended our e-shop according to the plugin's suggestions and things are already being picked up by Google. It's very fast too! Would definitely recommend it as a tool for anyone who wants to improve their e-commerce store!,5,4-Sep-14,United Kingdom
Brknlabel,I just used their blogging service (Blimpon). Loved the article! But what really took it away for me is the tone that was used. It's written exactly the way I write. I've been trying to outsource this but couldnt find quality work at an affordable price. This is definitely it! Great work and will use again!,5,5-Sep-17,Canada
Custom Teeth Devices,"Must have this SEO App.
It's good for startup websites to fix all the basics of the SEO (Mostly On Page SEO) 
We used the App for https://www.customteethdevices.com and it fixed many of the basics of the seo.
I recommend it for the startup",5,"Edited December 30, 2016",United States
Studio Daedre,I have a Dreamweaver 7 year background. I was having trouble working with Shopify and it's code . After struggling I contacted Luke and he totally tweaked what I could not. He showed me how to do it also. I just contacted him with a custom project of working with two websites to draw more customers . You will be happy with his work.  help@pluginseo.com,5,29-Jul-17,United States
Watch Portal Philippines,"Thank you Libby for great support! Good app, make my works so easy. Highly recommend for who new to SEO subject.this will make you pro in seo.",5,3-Sep-20,Philippines
Mulberry Rose,I'm so glad I decided to have them fix my SEO issues instead of wasting anymore of my own time trying to figure it out. This was SO easy and efficiently managed and I am very happy. Thank you!,5,29-Jun-20,United States
Sokomfy,Great advice on SEO issues. Easy to use to follow the recommendations to fix issues.,5,"Edited October 28, 2016",United States
bomisch,Very helpful! Added needed content to my site and I am already noticing an increase in Google traffic. Worked with me through design/font changes as well. Great App!,5,25-Nov-13,United States
Mystic Supplies,This is a MUST HAVE app for Shopify stores. Do not try and run your store without it! They make SEO easy and are quick and helpful in responding to problems!,5,5-Sep-19,United States
Evolvedfootwear,Plug in SEO has really helped keep us at the top of the Google search engine rankings. Overtime our product of LED light up shoes for adults has seen some growing competition get to the top out of nowhere. Luckily we've stayed right there with the extra insight of this app! 5 Stars!,5,6-Oct-16,United States
Bee Mercy,Have used this app for while. So far so good. Quick and efficient support. Will be looking at using one of their full packages for our site.,5,4-Mar-21,United Kingdom
Elixir Apothecary,"helped my ranking, thank you.  I will continue to use the plug in.",5,17-Oct-16,United States
anikabeauty.com,"Daniel was awesome to work with he provided excellent customer service every step of the way!
I would highly recommend Plugin SEO.",5,2-Aug-13,United States
Optic Nerve,"Easy to use, detailed instructions on how to fix",5,7-Oct-16,United States
Eupterrae,"Nice, I am glad to have this on my shop and that it is so available!",5,1-Jun-16,United States
Toki Mats,"Thank you Luke! Super responsive, and really helpful in explaining the changes along the way. I am not an expert in this field and am so grateful for the changes he made!",5,9-Jan-18,United States
Lady Shade Sun Care,"I used this app because I am a newbie to SEO, it had great tips and good guidance. I recommend it if you are looking for a turnkey solution. Very happy I am using this App",5,15-May-22,United States
Bon Tampons,Very informative and helpful - easy to use!,5,16-Oct-16,New Zealand
Yokodana Kimono,"I love this app. As a one-man shop it saves me TONS of time by automating things I was doing manually, plus at same time improves the structured data(well everything) pulled by google. I especially appreciated working with Dan Sim who not only reviewed and fixed all the intall changes I hadmade in my theme, but he made improvements and gave me tips which even further will help my SEO. Great communicator and did a thorough, professional job , in understandable terms for me a DIYer with limited coding skills.  I will run with this appfor a few months and see how our SERPs are. I'll come back here with results of these chagnes. Thanks Dan!",5,11-Aug-16,United States
Rainbows and Clover,"It's good. It's free. Anything to help with your SEO is surely a good thing?!!! Obviously you will always need to remember to work on your fresh content, tags, image naming etc.",5,"Edited September 16, 2018",Australia
Superfood Bakery,Great app. Really easy to use.,5,22-Sep-16,United Kingdom
Burchstoretractors Com,Works great easy to use even for the novice.,5,29-Mar-17,United States
Bebe Sweeny,Good Service for our website and so helpful if you don’t understand SEO.  recommend  this plugin….,5,2-Jan-23,United States
Bell Tent Boutique 2,Very simple to use and effective tool for improving your SEO,5,22-Oct-16,United Kingdom
MoSoap,"Shows where I need to focus and where I'm lacking.  I liked it so much, I downloaded for my other Shopify store.  Lots of options for assistance or make the corrections yourself - very user friendly!",5,19-Feb-15,United States
Getmaking,"I have found this app so helpful in fine tuning the basic SEO of my site. Clear information on the issues it identifies and if you need expert assistance they have support packages you can pay for. I haven't used the support yet so can't comment on that, but for a quick analysis to pick up anything I may have missed this app is brilliant. Highly recommended.",5,3-Jun-18,Australia
Peak Gems Dot Com,A very convenient and useful app to check your SEO,5,31-Aug-15,Hong Kong SAR
The Forgotten Toy Shop,This app helps me utilise my site to its best capacity. It is very useful indeed. Would def recommend,5,18-Feb-19,United Kingdom
Home Gift And More,"Just started using the App, but so far so good.",5,28-Feb-17,United States
Sonarta.com,"I would like to talk about the support team: They are smart, dedicated and know what they are doing. Today after 4 years they found the missing character in my Liquid Code. Thank you to all of you specifically Aiza.
Great Job.
Please Stay Safe.",5,"Edited October 4, 2020",United States
Rutland Pumps,A very useful tool for monitoring the state of your sites SEO very intuitive and simple to use makes this a must for all small business!,5,4-Sep-14,United Kingdom
Baby Anicka,Just installed. Looks easy to use:) Hoping it will work well!,5,12-Oct-16,Australia
In Blue Handmade,Thanks for the help!  I found the code hints very helpful!,5,10-Aug-17,United States
Painted Cowgirl,Love these folks. They do what they say and do it well. Thank you!!!!!,5,20-Oct-16,United States
Revolutionsilver,This is a great little app. I also took advantage of a free phone consultation which was really useful with no hard-sell. Highly recommended!,5,"Edited December 3, 2016",United Kingdom
Ibsacol,"Really rate this app for seeing how your website is doing. Great when you are adding new content and quick and straightforward to use. 
It would be even better if there was more explanation around how to fix some of the more complex issues around SEO and Website Speed - perhaps something to look at in future versions.",5,17-Oct-16,New Zealand
Coolmaterial,"Super simple and easy app that gives good, top-level feedback on the SEO health of your shop. We used it on our shop selling men's gifts and it found a couple of issues that we fixed. Recommended",5,22-Sep-16,United States
Christopher Steven Art,Great App To Find Critical SEO Problems!,5,4-Oct-14,United States
Gg2 Treasures Rock Shop,Thank you for being so helpful! I am new to the entire Seo world and you make it easy enough for even me to use! My store has already had an increase in traffic and I look forward to increased sales! I reccomend this ap!,5,3-May-18,United States
Www Hingeoutlet Com,This little app had really helped guide us in the right direction for SEO.  We highly recommend it as a basic SEO guide.,5,27-Feb-17,United States
Katze Boutique,"Very good App, Highly recommend it.",5,18-Apr-17,United States
Insect Frame Uk,A great app to get your SEO fixed if you don't know much about SEO like myself!,5,3-Apr-16,United Kingdom
Vintagefleurs,Useful app to learn about your SEO.,5,30-Jun-16,Norway
Robcousens Outdoor Furniture,"I started using Shopify around 3 years ago I use both online and POS and its fantastic. I have nothing negative to say about Shopify. 
Easy to use
Lots of plug ins to make life easier 
great value and great support.
Rob C",5,18-Oct-16,Australia
Persnickety Clothing,Great SEO Managment for our Shopify E-commerce site!,5,"Edited April 27, 2015",United States
Style Therapy,Super simple to use. Great for those new to SEO. Recommended,5,17-Jan-18,United States
Ozstraps,Simple and to use and effective in reminding me to keep things in order!,5,8-Feb-17,Australia
Nomad Store Test,Super easy to use + does what it says on the tin.,5,29-Apr-17,Belgium
Inspyr Socks,Quick search and great info for a newbie to expert,5,19-Apr-17,United States
Lrd Security,Used this in conjunction with shopify support to implement the various fixes to the problems... Very good app,5,7-Nov-16,United Kingdom
Deepdiive Com,Great basic SEO checks in the free version. Thanks to the developers!,5,22-Sep-17,United States
Boutique Chil,Whats not to like. Simple straightforward advice. Very useful app.,5,17-Dec-16,Canada
The Original Granite Bracket,Excellent plug in if you are fairly new to SEO and Shopify,5,29-Sep-16,United States
Della Kaur Store,Helped me instantly! Very happy indeed,5,6-Oct-16,United Kingdom
BastetNoir,"I like this app a lot, because it helps us quite a bit in fixing our SEO problems. I also love that you guys have a part with suggestions on how to fix things by yourself :). I simply love this",5,16-Jun-21,United States
5th Avenue Studio Supply,The app helped me identify areas that needed fixing. I used their service to fix my SEO issues and found the process to be very simple and cost effective.,5,1-Mar-21,United States
Blackbeltshop,great app.  It has been a big help to www.blackbeltshop.us,5,3-Dec-17,United States
Rieker Shoes,Excellent customer service very professional lots of knowledge. Good job guys.,5,13-Aug-16,Canada
Shootenstuff,Simple and helpful to quickly fix basic SEO problems.,5,21-Jun-17,Australia
Urbanspaceinteriors,Aiza did a great job. Very quick and very professional. I also apprecited the advise that was offered!,5,19-Jan-18,United States
Sweet & Spark | Curated Vintage Costume Jewelry,Daniel was so prompt and helpful in optimizing my store! Not only was he able to give me general SEO advice but he also took the time to provide useful articles and suggestions about other HTML/ site stuff. Excellent service and highly recommend!,5,31-Oct-13,United States
Trendy Pet 2,This app is wonderful and Daniel was so helpful in getting set up. I can't speak highly enough about Plug in SEO. We've used this app for a few years now and the team is top notch! I can't recommend them enough!,5,11-Aug-16,United States
Simply Natural Nutrition,Thank you. Very happy with the blog and will use again xx,5,26-Oct-17,Australia
The Treasured,Really handy and provides easy to understand tips for improving SEO yourself.,5,4-Feb-16,United Kingdom
Launch Snowboards,"The Plug in SEO app was super easy to use and clearly tells you what is critical, what is recommended, and what is minor to fix.  They then tell you how to fix it and best practices and even give you one click access to have the fixes professionally handled although I haven't hired any of their professionals just yet.  Would definitely recommend as an addition to any SEO strategy.",5,1-Jul-15,United States
Rippedkit,"Packed with useful, actionable tips and it's super quick and easy to set up and install. Highly recommended.",5,4-Dec-17,United Kingdom
Cadshop.com.au,"Great app , the guys are really knowledgeable and go out of their way to give you the results you want.",5,25-Nov-13,Australia
Labella Dentro,Working with Luke has been a great pleasure.  The follow-up and support is great! So far so good!  Thank You.  www.LaBellaDentro.com,5,20-Oct-15,United States
Blue Lab Vapors,VERY Valuable tool! We sat on it and then started using the app. Traffic is better.,5,27-Dec-17,United States
Artbyjennydesignshop,"I've had this on my store for quite a while and found it most useful. Not only does it tell me that my shop is running ok and how to fix things if they go wrong, but they send out very informative newsletters. Plus its still free :) Thank you so much SEO team!",5,7-Sep-17,Australia
Good For Youth Theater,This is the 2nd site I have used Plugin SEO. The customer service. Any custom work I've needed was done fast and good and a good value.,5,29-May-16,United States
Nerja Tapas Tours,Super easy to use and install. I can recommend. Many thanks,5,5-Jun-17,United Kingdom
Jeremshop,perfect service as usual very usefull for my store,5,12-May-17,France
Winerax,"Simple clear advice, easy to follow through on.",5,24-Oct-16,New Zealand
Tg Dvd Store,Very easy to use and simple user interface. Works great so far!,5,7-Apr-17,United States
Protein Package,Very helpful support and easy to use !,5,18-Dec-17,United Kingdom
Ambronite Us,Simply amazing. Highly actionable tips. Recommended!,5,5-Sep-16,United States
WigStudio1.com,Daniel is fantastic and delivers on his promise. I paid for and installed this service several months ago and discovered recently that Google was picking up some pricing figures in my description of one of my collections.  I asked Plug in SEO to look into it for me and Daniel logged into my Google account on my behalf and took care of the glitch within 48 hours.  Their commitment to their clients is solid. Very happy customer here!,5,11-Jul-13,United States
Wood In Philosophy,Very basic but good app for a quick check up on your site. I would recommend it to websites looking to pinpoint basic SEO issues.,5,1-Dec-18,Canada
Cairnterriercollectibles,"The app highlighted some issues with our Shopify site that needed attention, which is exactly what it is supposed to do. Thank you this was well worthwhile.",5,11-Oct-16,United Kingdom
single-speed Co.,"Great app, I've been using it for a long time now and I find it really useful. I am able to fix most problems myself but the app quickly points out areas where attention is needed. I have never used Plugin SEO services to fix issues but the pricing seems reasonable for those who have no clue of the code. Overall a handy and useful product. Thanks to the team for a great and useful tool!",5,21-Jan-15,Latvia
Outshine Art,Great app. Really easy to use with super fast feedback. Would recommend.,5,4-Mar-14,United Kingdom
Sandra Macdougall Art,Works good. Use it all the time.,5,13-Mar-18,Canada
Ali's Organics & Garden Supply,Very helpful app and personal help!  I would recommend app highly.  Daniel was on top of emails answering questions going above and beyond.  We purchased the premium pack and felt it has been well worth it.,5,27-Dec-13,United States
Power Chairs Test,Just starting to work with Plug in SEO.  Very excited to see what it has to offer!,5,12-Oct-16,United States
Beach Babe Swimwear,"Super helpful, Highly recommend Plug in Seo.",5,23-Jun-18,United States
JWB Art Unlimited,"Aiza Leano was a joy to work with.  She made it easy to understand the steps she was taking to improve my site's SEO, and kept me informed of her progress throughout the job.  Thanks, Aiza!",5,3-Aug-20,United States
Healthy Audio Hypnosis,"I liked the ease of use, the speed of the results and the helpful instructions on how to fix things.",5,9-Oct-18,United Kingdom
Sendmyeliquid.com,We have been using this app for years will over a million in sales at sendmyeliquid.com. We love this product!,5,18-Apr-19,United States
Newfoundland Clothing Company,So much good stuff found here. Love the option to re-check the site. This means each little thing I get right I can see the results update right away.,5,14-Oct-15,Canada
Unicornonesie,worked out so far to my liking,5,23-Nov-17,United States
Azillion Beads,"pretty cool, just using it for first time so haven't really got to play with it but so far so good",5,2-Jan-17,United States
Pre Dx,These guys did a great job helping me optimize my website for increased search engine traffic. I am not a computer person and they did all the work for me and quickly. I highly recommend this Plug-In due to quick work and great customer service. Thanks for all your help.,5,"Edited August 2, 2021",United States
Live Simple Roam Free,"Looks like a great free app, can't wait to dive more into it and get my shop rockin!",5,20-Oct-16,United States
AF HOUSE,"It's a rare company and I am amazed at how all the people working there are kind and enthusiastic to work out our solutions.
I would like to keep it to myself, but I am writing here to thank these people. Thank you so much : ) and you wont regret to purchase their service",5,2-Nov-22,United States
Basics Shirts Tops,"Good app.Gives confidence that I am doing good.
Thank you.",5,22-Apr-17,Chile
Tojarcomtest2,Just starting to use it ... I'll update you later,5,26-Nov-17,Jordan
Silver Star Charms,"This app is user friendly, very helpful and provides regular peace of mind that all is well on the website. Thank you!",5,"Edited June 7, 2019",United Kingdom
Ohnik Studio,Love it! Can't be easier and does exactly what it says... 2 thumbs up!,5,1-Feb-15,Canada
Threadiverse,Does its thing and does it well. simple SEO Stuff. Wish it had more onboard fixes minus the pricing options available.,5,9-Apr-18,United States
Ugears Uk,very happy with the job done and the explanations. promptly delivered and twice speed increase after the work done. www.ugears.online,5,11-Apr-17,United Kingdom
Limp Tees,"I thought my store was flawless, this app helped me see there were things wrog with it. Thanks guys.",5,31-Oct-16,United States
One Click Cables,Tried this app on my website https://oneclickcables.com/ and instantly gave me results. 5 stars,5,"Edited June 8, 2017",United Kingdom
BeautyStarAlliance,Best assistance apps. I like it. I am recommended you for instal this app. I have good results with SEO,5,6-Aug-20,United States
Gladiator Cornhole Gear,had it connected since day one and I'm ranking 3 years later...prob need to give it a little time just updated my theme,5,2-Mar-22,United States
Miles From,"We've been using Plug in SEO for over 18 months now. 
The reason we've stuck with it so long is 1. It works. 2. The support from Aiza and Libby has been first-rate. Highly recommended.",5,13-May-20,Australia
Temple Cycles,"ad such a great experience with this, in particular Niraj. The work was done quickly, professionally, and exactly as required. Highly recommended. Thank you.",5,22-Feb-18,United Kingdom
Louy Magroos,"Easy to install, easy to understand and Daniel replied to a problem I had and told me what I had done wrong within half an hour, brilliant!",5,16-Jan-15,United Kingdom
Little Villains,"Great app so far! Super easy to use and has really helped us tidy up things like broken links, headings and meta descriptions.",5,20-Mar-19,Australia
Flippin Ribbon,"Each time I contact support, they are quick to respond and very nice!  I recommend the app!",5,"Edited March 31, 2016",United States
Safe Passage Urns,"Great app, gives great tips and the interface is easy to use. Some of the tips the app provides are very complicated and require programming knowledge.",5,13-Dec-17,United States
Yogagearformen,"Plug-in SEO is a great app. I had been using it for a few years before I upgraded to the pro version, and the support I got during my install was nothing short of incredible. Before I upgraded to the Pro version, I had already used their extra services with great success, so I had a feeling that the Pro was going to be great, and it is. So easy, and so helpful. Thanks!",5,25-Aug-16,United States
Vire,Great SEO tool that gives you a rundown on possible techniques and tips to improve your search ranking.,5,17-Oct-16,South Africa
XOveBaby,"Very helpful app! Within a few minutes we were already tracking down errors and resolving issues. Did not take advantage of the paid services, but would certainly do so if needed.",5,4-Jun-15,United States
BetterBabyBums,"Good app, what's left to do it's to follow the advises given!",5,10-Feb-15,Canada
Okra Molly,"Finally, a way to hold my hand through the maze of SEO.",5,16-Jan-17,United States
Patch Freak,Nice app and so easy to use and its FREE so why not.I highly recommend,5,8-Jun-16,United Kingdom
Gnodpop,"Kudos to the pluginseo team, great job on an incredibly useful tool!",5,16-Oct-16,United States
Immaculate Organic Soaps,"This is a great app to have for all store types.  You need to know if anything in  your SEO is off the mark.  This app helps to narrow down your issues,even when you think you fixed all your SEO issues. This app will find the ones you missed.  Easy to install.",5,27-Jan-17,United States
Signs By Salagraphics,Easy to use. Checks everything on a monthly basis. Thanks from salagraphics.com,5,21-Jun-16,United States
Find Unique Christmas Gifts,Very helpful add to fix some SEO issues on my Unique Christmas Gifts website,5,5-Nov-17,Canada
Responsivethemes,Nicely done - works well to alert store owners to issues within the SEO of their store. We recommend this to all who use our themes.,5,20-Sep-16,United States
Iron Age Guitar Accessories,"Works great & gives some useful insight to keep all our pages in order.
Best regards from Iron Age @
www.IronAgeAccessories.com",5,30-Sep-16,United States
Hejvin,Mission accomplished. We're happy with the result. The communication was very smooth. Great experience!,5,12-Mar-17,Germany
Jakedstore,I love this app cause it helps you find and solve all your seo problems! Awesome!,5,1-Oct-16,United States
fabulous flowers,"Great app and just hired them to fix my SEO! Very excited to see results!
Thank you. Libby has been exceptional in her service and care. Thank you.",5,"Edited November 24, 2021",South Africa
ArtByAlexandraNicole,We have a young shop and do not longer need this plug in after review.  I think once we grow we will be a better fit.,5,2-Feb-23,United States
Angler's Bay Clothing & Apparel,"Easy to install, easy to use. Great little app for testing your site's SEO data. Very useful! Thanks",5,4-Nov-14,United States
Belong Designs,Good free app for amending your store's Meta data.,5,7-Nov-14,United States
Davidrozman,Great app. HAs really helped us to understand Seo a little more.,5,15-Oct-16,United Kingdom
Anxfzp,prefect ! I have a good experience.,5,21-Jan-18,United Kingdom
A Koko,"SEO, this akes some of the mystery away",5,4-Apr-17,United Kingdom
Www Remixd Co Uk,So easy -  I have been paying 3rd party firms to do god knows what - but have been picking up what they have been doing - then I signed up for SEO plug in plus and see that is is all fairly easy with the help of this app for a fraction of the cost.,5,29-May-17,United Kingdom
Sweet Victory Products Ltd,awesome features v-usefull. look forward to exploring it more. hope it helps any issues without costing the earth.,5,11-Nov-19,United Kingdom
Halo2cloud Com,Amazing review of the site in only a matter of minutes with spot-on recommendations!,5,11-Oct-16,United States
Suelanejewellery,Works well for me. I recommend this app - it does exactly what I was expecting and is easy to use. It's improved SEO since installing.,5,5-Jun-18,United Kingdom
Morgan Mouthpiece Company,I love working with Aiza. Her communication skills are great and her work is excellent. Looking forward to utilizing her services again on other web/seo related issues.,5,4-Sep-19,United States
Light Visuals,"Simple to install and use, and saves a lot of time manually entering SEO",5,26-Oct-17,United Kingdom
Luvele,Great service! Spells out your problems and helps you fix them.,5,12-Oct-17,Australia
OEVO,"Great app, easy to install and configure, allowing you to check the quality of your SEO in 5 minutes.
http://www.oevo.it/
https://www.facebook.com/oevoitalia",5,12-Jun-13,Italy
Rhinestone Hq,Great and very helpful staff would reccomend,5,7-Nov-17,United Kingdom
Heppi,"A great app to keep track of your SEO, highly recommended",5,22-Jan-17,Australia
Silislick,Great app and very user friendly. Recommend,5,"Edited January 18, 2017",United States
Hyatt Fruit Company,Very easy to install and use. And very helpful. Identified that we had two H1 tags in our home page! Thank you for a great app. Recommended!,5,20-Oct-15,United States
PopSockets,Simple and helpful. No reason not to use this app.,5,17-Apr-14,United States
Papereskimo Usa,Great customer service and fixed the issue without any problems,5,7-Mar-18,United States
Common Texture,"Have been using this app for over a year now, it helps us to keep up with our SEO. Helpful to small businesses who manage everything on their own. Fast and efficient customer service!",5,11-May-21,France
Secret Storage Books,"This app is free, and will tell you where there are problems with your website. The fixes are not free, but that's ok with me because people need to be paid for their work.",5,30-Apr-18,Canada
Fitnessgearusa,good for fitness . Works well. Highly recommend,5,25-Jan-17,United States
Fayzens Kreations,Great app. Helps me to find problems and the solutions.,5,27-Sep-16,United States
Minimains,"great service, perfect communication!",5,13-Oct-16,United States
Ruff Puppies Collars,"We love love love this app. It allows product option choices that are easy to set up! After paying professional web builders, this app made a ""complicated"" store more than great. Worth every penny.",5,15-Nov-18,United States
Eofficedirect,Seems like a worthwile app. Very easy set up...now to fixing out problems!,5,25-Oct-16,United States
Multilingualbooks,a pretty good app would def recommend for a try!,5,9-May-18,United States
Bohemian Bliss,Great app.  It pointed out several issues I would have never know about.,5,25-Oct-16,United States
Ladybagssf Com,This works great ! It has been really helpful in keeping our website working properly.,5,6-Nov-16,United States
